date,hometeam,awayteam,homegoals,awaygoals,ghost
2019-08-16,Bayern Munich,Hertha,2,2,0
2019-08-17,Dortmund,Augsburg,5,1,0
2019-08-17,Freiburg,Mainz,3,0,0
2019-08-17,Leverkusen,Paderborn,3,2,0
2019-08-17,Werder Bremen,Fortuna Dusseldorf,1,3,0
2019-08-17,Wolfsburg,FC Koln,2,1,0
2019-08-17,M'gladbach,Schalke 04,0,0,0
2019-08-18,Ein Frankfurt,Hoffenheim,1,0,0
2019-08-18,Union Berlin,RB Leipzig,0,4,0
2019-08-23,FC Koln,Dortmund,1,3,0
2019-08-24,Schalke 04,Bayern Munich,0,3,0
2019-08-24,Paderborn,Freiburg,1,3,0
2019-08-24,Mainz,M'gladbach,1,3,0
2019-08-24,Augsburg,Union Berlin,1,1,0
2019-08-24,Fortuna Dusseldorf,Leverkusen,1,3,0
2019-08-24,Hoffenheim,Werder Bremen,3,2,0
2019-08-25,RB Leipzig,Ein Frankfurt,2,1,0
2019-08-25,Hertha,Wolfsburg,0,3,0
2019-08-30,M'gladbach,RB Leipzig,1,3,0
2019-08-31,Wolfsburg,Paderborn,1,1,0
2019-08-31,Union Berlin,Dortmund,3,1,0
2019-08-31,Schalke 04,Hertha,3,0,0
2019-08-31,Bayern Munich,Mainz,6,1,0
2019-08-31,Freiburg,FC Koln,1,2,0
2019-08-31,Leverkusen,Hoffenheim,0,0,0
2019-09-01,Werder Bremen,Augsburg,3,2,0
2019-09-01,Ein Frankfurt,Fortuna Dusseldorf,2,1,0
2019-09-13,Fortuna Dusseldorf,Wolfsburg,1,1,0
2019-09-14,Augsburg,Ein Frankfurt,2,1,0
2019-09-14,Dortmund,Leverkusen,4,0,0
2019-09-14,FC Koln,M'gladbach,0,1,0
2019-09-14,Mainz,Hertha,2,1,0
2019-09-14,Union Berlin,Werder Bremen,1,2,0
2019-09-14,RB Leipzig,Bayern Munich,1,1,0
2019-09-15,Hoffenheim,Freiburg,0,3,0
2019-09-15,Paderborn,Schalke 04,1,5,0
2019-09-20,Schalke 04,Mainz,2,1,0
2019-09-21,Werder Bremen,RB Leipzig,0,3,0
2019-09-21,Leverkusen,Union Berlin,2,0,0
2019-09-21,Bayern Munich,FC Koln,4,0,0
2019-09-21,Freiburg,Augsburg,1,1,0
2019-09-21,Hertha,Paderborn,2,1,0
2019-09-22,M'gladbach,Fortuna Dusseldorf,2,1,0
2019-09-22,Ein Frankfurt,Dortmund,2,2,0
2019-09-23,Wolfsburg,Hoffenheim,1,1,0
2019-09-27,Union Berlin,Ein Frankfurt,1,2,0
2019-09-28,Augsburg,Leverkusen,0,3,0
2019-09-28,Hoffenheim,M'gladbach,0,3,0
2019-09-28,Paderborn,Bayern Munich,2,3,0
2019-09-28,RB Leipzig,Schalke 04,1,3,0
2019-09-28,Dortmund,Werder Bremen,2,2,0
