orderid,zone,minutes
10367,South,32.6
10114,North,23.9
10178,Central,26.3
10232,Central,21.7
10050,North,19.8
10221,Central,42.0
10215,Central,33.2
10142,North,32.6
10203,Central,33.9
10391,South,26.2
10213,Central,40.4
10272,Central,36.3
10041,North,23.9
10007,North,28.3
10359,South,24.7
10458,North,999.0
10165,Central,36.2
10403,South,33.1
10310,South,28.7
10424,South,22.0
10176,Central,25.8
10154,Central,59.1
10417,South,18.6
10260,Central,33.9
10378,South,40.1
10008,North,30.1
10207,Central,29.7
10116,North,18.3
10369,South,23.7
10153,Central,27.8
10308,Central,34.9
10181,Central,21.1
10156,Central,24.0
10427,South,30.5
10092,North,25.5
10247,Central,31.3
10101,North,26.0
10122,North,42.7
10325,South,27.1
10033,North,21.6
10210,Central,23.1
10454,Central,999.0
10047,North,27.3
10196,Central,41.1
10192,Central,27.7
10200,Central,33.4
10127,North,20.8
10051,North,48.0
10281,Central,16.4
10235,Central,27.5
10049,North,15.9
10342,South,29.4
10286,Central,29.2
10282,Central,16.3
10409,South,33.8
10045,North,32.6
10340,South,27.6
10094,North,34.1
10072,North,45.4
10401,South,27.8
10394,South,41.4
10343,South,40.4
10031,North,31.1
10085,North,22.0
10163,Central,30.4
10103,North,18.6
10433,South,46.1
10112,North,36.2
10058,North,38.8
10180,Central,14.1
10252,Central,19.7
10084,North,58.5
10182,Central,44.3
10004,North,26.4
10387,South,41.3
10087,North,35.1
10395,South,41.5
10439,Airport,1824.0
10453,North,999.0
10291,Central,39.2
10381,South,46.6
10303,Central,39.0
10440,Airport,2208.0
10029,North,37.4
10052,North,30.8
10104,North,31.8
10346,South,31.6
10175,Central,23.9
10370,South,47.4
10174,Central,34.3
10223,Central,39.2
10261,Central,31.3
10073,North,13.4
10238,Central,27.4
10119,North,23.4
10143,North,25.0
10293,Central,26.6
10157,Central,38.2
10003,North,34.1
10341,South,17.4
10267,Central,25.9
10415,South,38.8
10323,South,40.9
10301,Central,36.7
10400,South,23.0
10081,North,18.9
10410,South,23.2
10126,North,34.3
10011,North,25.2
10347,South,37.5
10383,South,32.1
10064,North,25.3
10065,North,37.8
10062,North,35.3
10313,South,23.0
10187,Central,23.4
10054,North,28.6
10195,Central,32.3
10419,South,28.0
10201,Central,40.6
10082,North,14.4
10100,North,33.4
10155,Central,30.9
10009,North,25.7
